target_ip,sample_measurement_id,sample_probe_id,p_hop_ip,p_hop_rtt_ms
171.102.240.245,164794294,1005682,171.102.250.1,4.357
171.102.241.62,164794309,1005682,171.102.250.1,4.198
171.102.242.36,164794316,1005682,171.102.250.38,4.03
171.102.243.144,164794321,1005682,171.102.250.38,3.703
171.236.60.197,164794333,55753,27.67.51.129,15.387
171.236.61.202,164794346,55753,27.67.51.129,15.539
171.236.62.107,164794358,55753,27.67.51.129,22.932
171.236.63.36,164794365,55753,27.67.51.129,14.316
172.104.57.220,164794376,1004066,10.209.1.136,0.493
173.222.108.107,164794384,11202,82.197.168.86,675.913
173.222.200.161,164794397,60661,87.121.7.3,10.634
173.222.201.30,164794404,60661,87.121.7.3,23.77
173.222.202.215,164794412,60661,87.121.7.3,23.731
173.223.112.34,164794417,6307,80.249.212.18,3.954
173.223.113.132,164794423,6307,80.249.212.18,3.778
173.223.114.229,164794428,6307,80.249.212.18,3.914
173.223.115.176,164794433,6307,80.249.212.18,4.106
173.223.128.44,164794438,10797,23.210.51.153,1.514
173.223.129.131,164794442,10797,23.210.51.153,1.655
173.223.28.24,164794447,10797,23.210.51.155,1.614
173.223.29.136,164794452,10797,23.210.51.153,1.611
173.223.31.163,164794456,10797,23.210.51.155,1.608
175.100.94.49,164794470,1001118,36.37.253.197,32.106
175.99.112.169,164794475,1002754,60.199.82.110,1.426
175.99.113.28,164794480,1002754,60.199.82.110,1.558
175.99.114.49,164794485,1002754,60.199.82.118,1.474
177.238.24.112,164794493,33652,177.238.186.23,59.914
178.18.232.203,164794504,11361,91.108.51.16,9.206
179.40.131.185,164794517,1011161,179.40.63.3,4.394
179.49.23.197,164794523,1011292,179.49.23.209,1.943
179.6.238.208,164794526,18371,10.95.159.98,3.303
180.149.52.94,164794528,1002817,180.149.48.70,3.773
180.149.59.41,164794532,1014828,14.143.159.146,6.406
180.149.61.145,164794535,1002817,14.143.159.146,2.969
181.30.131.76,164794553,1012809,181.96.62.165,9.335
181.30.145.87,164794556,1012809,181.96.62.165,9.494
181.39.103.9,164794568,1011292,181.39.103.1,13.167
181.54.161.98,164794575,60386,181.54.161.1,3.575
182.156.239.43,164794579,1000979,121.241.7.14,3.283
182.162.56.191,164794584,1002619,211.53.160.77,2.314
182.162.57.48,164794586,1002619,211.53.160.77,2.342
182.162.58.32,164794588,1002619,1.208.149.17,2.647
182.162.59.249,164794591,1002619,211.168.100.149,2.62
182.176.154.133,164794594,62224,172.25.3.14,0.456
182.18.179.1,164794599,1002359,154.210.137.17,1.172
183.80.211.58,164794602,1006856,118.69.253.173,25.192
184.150.154.72,164794608,1011940,64.230.94.169,1.809
184.150.157.80,164794610,1011940,64.230.52.197,9.298
184.150.49.41,164794615,1011940,142.124.127.67,2.566
184.150.66.115,164794618,1011940,64.230.118.129,45.447
184.24.192.116,164794620,7043,192.168.193.165,0.499
184.24.193.161,164794622,7043,192.168.194.37,0.692
184.24.194.118,164794623,7043,192.168.194.37,0.475
184.24.195.173,164794624,7043,192.168.193.165,0.253
184.24.196.60,164794625,11202,91.206.52.56,5.315
184.24.197.78,164794626,11202,91.206.52.56,2.227
184.24.198.139,164794628,11202,91.206.52.56,1.765
184.24.204.218,164794630,7043,192.168.193.37,0.672
184.24.205.196,164794631,7043,192.168.193.165,0.341
184.24.206.136,164794632,7043,192.168.193.37,0.395
184.24.207.72,164794633,7043,192.168.193.37,0.787
184.25.158.193,164794634,2325,23.197.78.131,1.736
184.25.216.185,164794636,2325,23.197.78.121,2.603
184.25.217.204,164794638,2325,23.197.78.121,5.507
184.25.218.185,164794640,2325,23.197.78.121,2.753
184.25.219.105,164794641,2325,23.210.52.217,
184.25.245.64,164794644,7043,192.168.194.37,0.511
184.25.246.205,164794645,7043,192.168.194.37,0.476
184.25.247.30,164794647,7043,192.168.193.165,0.486
184.27.210.27,164794649,1006119,23.56.131.231,37.341
184.28.112.158,164794651,11202,91.206.52.56,5.123
184.28.113.191,164794652,11202,91.206.52.56,1.795
184.28.180.240,164794653,4999,2.20.44.65,27.938
184.28.181.217,164794654,4999,2.20.44.65,35.724
184.28.52.72,164794655,10074,23.54.118.193,1.188
184.28.53.166,164794657,10074,23.54.118.193,1.166
184.28.56.180,164794659,12888,23.197.66.193,396.815
184.28.57.150,164794661,12888,23.197.66.193,396.757
184.30.208.254,164794665,2325,23.210.52.217,
184.30.209.134,164794668,2325,23.197.78.125,4.218
184.30.210.171,164794670,2325,23.197.78.133,5.993
184.30.211.193,164794672,2325,23.197.78.121,2.713
184.30.213.227,164794673,2325,23.197.78.121,9.191
184.30.214.84,164794675,2325,23.197.78.123,3.032
184.30.215.75,164794676,2325,23.197.78.121,7.434
184.30.216.179,164794678,2325,23.197.78.127,3.242
184.30.217.154,164794679,2325,23.197.78.121,2.302
