qq.com,www.qq.com.eo.dnse2.com.
freefiremobile.com,sea.k8s.garenanow.com.
xiaohongshu.com,www.xiaohongshu.com.eo.dnse0.com.
wechat.com,www.wechat.com.eo.dnse1.com.
meituan.com,ipv4-ipv6-phase4.web.vip.meituan.com.
pinduoduo.com,NA
ruijienetworks.com,www.ruijienetworks.com.eo.dnse2.com.
wetest.net,NA
soinluck.com,NA
itopsdk.com,NA
gtarcade.com,1370014559490025473.zga.globalconnetct.com.
polybuzz.ai,www.polybuzz.ai.eo.dnse4.com.
polyspeak.ai,txgvmuseast2-people-gslb-igr.baifentan.com.
tencentcs.com,NA
moomoo.com,www.moomoo.com.eo.dnse2.com.
jixie.io,NA
neixin.cn,inf-epd.hl.vip.meituan.com.
futunn.com,www.futunn.com.eo.dnse2.com.
aiease.ai,d1jt3psc06p99s.cloudfront.net.
studyquicks.com,txgvmuseast2-fr-igr.baifentan.com.
weidian.com,shunt-h5.wdfangyi.com.
seetong.com,NA
520.jp,NA
questionai.com,txgvmuseast2-fr-igr.baifentan.com.
servicewechat.com,NA
gotokeep.com,anycast-waf.gotokeep.com.
shegu.net,NA
kubesre1.xyz,NA
rumt-sg.com,NA
wdfangyi.com,shunt-proxy.wdfangyi.com.
orvibo.com,NA
wesingapp.com,NA
coocent.net,NA
abcproxy.vip,NA
szwego.com,www.szwego.com.cloudscdn.net.
yuewen.com,ins-r6buzqht.ias.tencent-cloud.net.
chinaemail.cn,NA
turingfraud.net,NA
joox.com,www.joox.com.eo.dnse0.com.
ahaworld.com,import-svc.ahaworld.com.
funformulagames.com,NA
cocrea.world,www.cocrea.world.eo.dnse0.com.
tamaegis.com,NA
piclumen.com,d56pzurq8xzv2.cloudfront.net.
sie.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
immd.gov.hk,www.immd.gov.hk.eo.dnse5.com.
wattgaming.com,gwall.wattgaming.com.
aicoin.com,NA
bekids.com,import-svc.bekids.com.
ddddns.net,show.ddd.com.
socialapps.ai,aliuseastb-people-gslb-igr.baifentan.com.
upseller.com,lb-5id60kzf-9srmvzkawnfep3g7.clb.sao-tencentclb.com.
minigameltd.com,NA
joynetgame.com,gwall.joynetgame.com.
adups.cn,NA
mabangerp.com,ae9dc21f70b64779bd8c0675900432f1.zga.globalconnetct.com.
lhzl666.com,www.lhzl666.com.eo.dnse2.com.
judian.jp,NA
voovmeeting.com,voovmeeting.vigtm-meeting-tencent.com.
umeye.cn,NA
adxflyer.com,NA
newtvcdn.com,NA
ireaderm.net,fda56a583b701dfe8367bda3cc1f27dc.qcloudcjgj.com.
tspot.vip,tspot.vip.
wallstreetcn.com,NA
darkanddarker.com,NA
flashexpress.co.th,b8a2d07d.fexcloudw.com.
70bet.net,NA
girls-chat.tv,www.girls-chat.tv.eo.dnse4.com.
tencentcloud.com,www.tencentcloud.com.eo.dnse3.com.
bigjpg.com,ykd.1353390.cccdun.com.
secure-pay.in,secure-pay.in.
51sole.com,NA
moboreels.com,www.moboreels.com.akamaized.net.
zerophil.com,NA
lensgo.ai,cda55d21d43fb86b.vercel-dns-017.com.
kookapp.cn,pathx-www.kaiheila.cn.
futuhn.com,NA
lingxingerp.com,lx-qlc-gz.lingxingerp.com.
xxsy.net,www.xxsy.net.cdn.dnsv1.com.
mayitek.com,NA
hongxiu.com,ins-srgsg8xu.ias.tencent-cloud.net.
coccolive.com,www.coccolive.com.c.vecdnlb.com.
phxyuyin.com,NA
gameloop.fun,ins-myrshdf5.ias.tencent-cloud.net.
zhentoo.com,NA
hakiapp.com,www.hakiapp.com.c.vedcdnlb.com.
360s5.com,NA
olamet.net,olamet.net.
gbwhat.pro,lb-acon5v66-0i4dmq5pes6b9cwg.clb.sg-tencentclb.net.
td.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
cr.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
hellotalk.com,NA
kmzs123.tk,3i9vv9dz14hq.kmzs123.tk.eo.dnse3.com.
playdeltaforce.com,www.playdeltaforce.com.eo.dnse5.com.
vchat-onlie.com,vchat-onlie.com.
q1nk.de,NA
bidalgo.io,;; communications error to 127.0.0.53#53: timed out
flashexpress.ph,bf847e31.fexcloudw.com.
labour.gov.hk,www.labour.gov.hk.eo.dnse5.com.
tapfun.pro,tapfun.pro.
ax3000.online,NA
sharepads.me,NA
vmlogin.com,NA
track123.com,lx-qlc-gz.track123.com.
readnovel.com,ins-hqfumg09.ias.tencent-cloud.net.
anyelse.com,NA
blessed-app.com,lb-pkqhn8uw-h0abzdjvi6fmcpn7.clb.na-siliconvalley.tencentclb.com.
police.gov.hk,www.police.gov.hk.eo.dnse5.com.
knit.bid,NA
octoparse.com,www.octoparse.com.eo.dnse1.com.
52bet.com,d1b7g6m0bbv1a5.cloudfront.net.
tanmchat.com,tanmchat.com.
1823.gov.hk,www-1823.4dns.info.gov.hk.
aovale.com,NA
ddhszz.com,NA
obdocker.com,NA
firstvpn.net,NA
metal.com,NA
rumt-us.com,NA
omniheroesgame.com,www.omniheroesgame.com.eo.dnse5.com.
sugarfungame.com,NA
chereads.com,NA
opencbc.com,NA
pointtree.co.kr,NA
hkpl.gov.hk,NA
visitbeijing.com.cn,f1.visitbeijing.com.cn.
championcas.com,NA
zxinc.org,url.zxinc.org.
ont.io,NA
anjunexpress.com.br,anjunexpress.com.br.
wsxcme.com,www.wsxcme.com.cloudscdn.net.
6699.jp,NA
netfungame.com,gwall.netfungame.com.
51yund.com,NA
leniuhw.com,NA
efun.com,NA
minirpa.net,NA
perkhubcc.com,NA
51vv.com,NA
hola666.com,NA
cfs.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
swanmei.com,NA
gpark.io,gpark.io.
pi-node.cn,NA
xverse.cn,NA
wenext.chat,NA
e2esoft.com,NA
wis.cloud,NA
yeahpromos.com,NA
doki.live,NA
pdfagile.com,www.pdfagile.com.943e270b.c.cdnhwc7.com.
brockca.com,NA
futuhk.com,www.futuhk.com.eo.dnse2.com.
funcatgames.com,NA
eteams.cn,NA
fluzzly.com,NA
xs8.cn,ins-35q5rzo9.ias.tencent-cloud.net.
snpp.com,show.ddd.com.
deerchao.net,NA
easycontrol.io,NA
wenext.games,NA
sosot.net,NA
ahayuyin.com,NA
dericam.com,dericamtwo.web49.hkaly.supcname.com.
com2us.com,NA
wulagame.com,lb-dv0d48oy-tdmxr4nv06el8pq3.clb.sg-tencentclb.cloud.
helps.live,wildcard.helps.live.
xed.plus,NA
sayyouditto.com,www.sayyouditto.com.c.vedcdnlb.com.
wtta.top,NA
timemark.com,cdn.webflow.com.
4399sy.ru,;; communications error to 127.0.0.53#53: timed out
7700bet.org,NA
coronavirus.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
tstz.com,NA
sanwen8.cn,hk3.sanwen.net.
techscience.com,NA
ipd.gov.hk,www.ipd.gov.hk.eo.dnse5.com.
pexix.com,NA
solitairebit.com,NA
yunduost.com,NA
findex.cn,ns2.dnsdiy.com.
leadstecgz.com,NA
emsd.gov.hk,cdn-www.emsd.wh.cis.gov.hk.
wxaurl.cn,NA
hamiparty100.com,hamiparty100.com.
gaming.com,NA
investhk.gov.hk,www.investhk.gov.hk.eo.dnse5.com.
juicematch3.com,NA
myip.top,beian.lingjiang.co.
uugame100.com,NA
wegic.ai,lb-2k1kikes-ydsi4g20rcjt79vk.clb.usw-tencentclb.com.
u7x.cn,NA
3p4.cn,NA
4pn.cn,NA
ifeehei.xyz,NA
lightchatlive.com,lightchatlive.com.
livepolls.app,www.livepolls.app.w.cdngslb.com.
ezbuy.sg,lb-o07qrzvu-h30mxocr6d1f9jb7.clb.ap-singapore.tencentclb.com.
mileray.com,;; communications error to 127.0.0.53#53: timed out
yykid.top,;; communications error to 127.0.0.53#53: timed out
gimmelive.net,www.gimmelive.net.c.vecdnlb.com.
habbylive.com,www.habbylive.com.c.vedcdnlb.com.
voovlive.com,NA
obwhatsappdownload.com,;; communications error to 127.0.0.53#53: timed out
borderlessbd.com,NA
939bet.net,NA
voopoo.com,NA
soulland-newworld.com,NA
myfrfr.com,NA
xmdd188.com,NA
fuseclick.com,NA
bh1nyr.net,NA
4a9.cn,NA
flightroutes24.com,NA
rastargames.com,NA
filecabi.net,NA
cravatar.cn,NA
urbtix.hk,www.urbtix.hk.eo.dnse4.com.
zwoastro.com,NA
wigginshair.com,wiggins-alb-2037982372.us-west-2.elb.amazonaws.com.
iamsmart.gov.hk,www.iamsmart.gov.hk.eo.dnse5.com.
mvbox.cn,NA
futufin.com,NA
meetbot.com,www.meetbot.com.c.yundunwaf.com.
lunaeth.com,lunaeth.com.
sevenwheelguide.com,NA
yobilive.com,www.yobilive.com.c.vedcdnlb.com.
mardep.gov.hk,www.mardep.gov.hk.eo.dnse5.com.
acenetgamejp.com,gwall.acenetgamejp.com.
dh.gov.hk,www.gov.hk.f17a14b3.cdnhwcgqa21.com.
dahon.com,NA
ipchaxun.com,NA
655bet.net,NA
millerltdgames.com,millerltdgames.com.
sonicetactical.ru,;; communications error to 127.0.0.53#53: timed out
